StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Coder ID,Post ID,Attribution Presence,Number Attributions,Attribution1,Attribution2,Attribution3,Attribution4,Attribution5,Attribution6,Attribution7,AttributionOther
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Coder ID,Please insert the post ID [type a whole number],Does the post include any responsibility attributions?,How many responsibility attributions are in the post? [type a whole number],Copy the first responsibility attribution,Copy the second responsibility attribution,Copy the third responsibility attribution,Copy the fourth responsibility attribution,Copy the fifth responsibility attribution,Copy the sixth responsibility attribution,Copy the seventh responsibility attribution,Copy all remaining responsibility attributions
"{""ImportId"":""startDate"",""timeZone"":""Africa/Bangui""}","{""ImportId"":""endDate"",""timeZone"":""Africa/Bangui""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Africa/Bangui""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID17""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16_TEXT""}"
2025-04-22 12:51:18,2025-04-22 13:58:44,IP Address,146.50.205.31,100,4045,True,2025-04-22 13:58:45,R_2SLLXIUKng0oUnv,,,,,52.3766,4.835,anonymous,EN,Francesco,1,No,,,,,,,,,
2025-04-22 13:58:46,2025-04-22 14:00:58,IP Address,146.50.205.31,100,132,True,2025-04-22 14:00:59,R_848IQICgF0Ibsy9,,,,,52.3766,4.835,anonymous,EN,Francesco,2,No,,,,,,,,,
2025-04-22 14:01:00,2025-04-22 14:14:04,IP Address,146.50.205.31,100,784,True,2025-04-22 14:14:05,R_8ojO3NACzBYWMuv,,,,,52.3766,4.835,anonymous,EN,Francesco,3,Yes,1,"...Donald Trump delivered the American Dream. All the economic indicators, what's happening overseas, Donald Trump has proven to be far more successful than Barack Obama.",,,,,,,
2025-04-22 14:14:06,2025-04-22 14:17:31,IP Address,146.50.205.31,100,205,True,2025-04-22 14:17:32,R_8q1VkjGimDN6OC2,,,,,52.3766,4.835,anonymous,EN,Francesco,4,No,,,,,,,,,
2025-04-22 14:30:19,2025-04-22 14:31:06,IP Address,146.50.205.31,100,47,True,2025-04-22 14:31:07,R_8DXL3bAQAfhwgIQ,,,,,52.3766,4.835,anonymous,EN,Francesco,5,No,,,,,,,,,
2025-04-22 14:31:07,2025-04-22 14:31:26,IP Address,146.50.205.31,100,19,True,2025-04-22 14:31:27,R_2dQ4FxKABLvtT7J,,,,,52.3766,4.835,anonymous,EN,Francesco,6,No,,,,,,,,,
2025-04-22 14:31:28,2025-04-22 14:31:46,IP Address,146.50.205.31,100,17,True,2025-04-22 14:31:46,R_2zdcxQqnJyhUZIG,,,,,52.3766,4.835,anonymous,EN,Francesco,7,No,,,,,,,,,
2025-04-22 14:31:47,2025-04-22 14:35:18,IP Address,146.50.205.31,100,211,True,2025-04-22 14:35:18,R_8VZt8miWFem8wLf,,,,,52.3766,4.835,anonymous,EN,Francesco,8,No,,,,,,,,,
2025-04-22 14:35:19,2025-04-22 14:36:43,IP Address,146.50.205.31,100,84,True,2025-04-22 14:36:43,R_8IOnbp3CgA9nkNb,,,,,52.3766,4.835,anonymous,EN,Francesco,9,No,,,,,,,,,
2025-04-22 14:36:45,2025-04-22 14:43:47,IP Address,146.50.205.31,100,422,True,2025-04-22 14:43:47,R_2gUB5HFinQxq9BC,,,,,52.3766,4.835,anonymous,EN,Francesco,10,No,,,,,,,,,
2025-04-22 14:43:48,2025-04-22 14:44:17,IP Address,146.50.205.31,100,29,True,2025-04-22 14:44:17,R_8Ym0eLZxvfJ3jkg,,,,,52.3766,4.835,anonymous,EN,Francesco,11,No,,,,,,,,,
2025-04-22 14:44:18,2025-04-22 14:45:56,IP Address,146.50.205.31,100,97,True,2025-04-22 14:45:56,R_8m0DfKNUV34xVn3,,,,,52.3766,4.835,anonymous,EN,Francesco,12,Yes,1,"Best economic numbers in decades. If the Democrats take control, kiss your newfound wealth goodbye!",,,,,,,
2025-04-22 14:45:58,2025-04-22 14:55:42,IP Address,146.50.205.31,100,584,True,2025-04-22 14:55:43,R_8e5dzH2S5E2kvnI,,,,,52.3766,4.835,anonymous,EN,Francesco,13,Yes,4,"I asked what it is that would make business (jobs) even better in the U.S. “Stop quarterly reporting and go to a six month system,” said one.","“Stop quarterly reporting &, go to a six month system,” said one. That would allow greater flexibility","“Stop quarterly reporting &, go to a six month system,” said one. That would... save money.","“Stop quarterly reporting &, go to a six month system,” said one. That would allow greater flexibility &, save money. I have asked the SEC to study!",,,,
2025-04-22 15:19:05,2025-04-22 15:25:18,IP Address,145.109.58.140,100,372,True,2025-04-22 15:25:19,R_8QzsvumRpeQLnWs,,,,,52.352,4.9392,anonymous,EN,Mare,1,No,,,,,,,,,
2025-04-22 15:25:21,2025-04-22 15:26:56,IP Address,145.109.58.140,100,94,True,2025-04-22 15:26:56,R_8OSOtoeIz1nSiop,,,,,52.352,4.9392,anonymous,EN,Mare,2,No,,,,,,,,,
