StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Coder ID,Post ID,Attribution Presence,Number Attributions,Attribution1,Attribution2,Attribution3,Attribution4,Attribution5,Attribution6,Attribution7,AttributionOther
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Coder ID,Please insert the post ID [type a whole number],Does the post include any responsibility attributions?,How many responsibility attributions are in the post? [type a whole number],Copy the first responsibility attribution,Copy the second responsibility attribution,Copy the third responsibility attribution,Copy the fourth responsibility attribution,Copy the fifth responsibility attribution,Copy the sixth responsibility attribution,Copy the seventh responsibility attribution,Copy all remaining responsibility attributions
"{""ImportId"":""startDate"",""timeZone"":""Africa/Bangui""}","{""ImportId"":""endDate"",""timeZone"":""Africa/Bangui""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Africa/Bangui""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID17""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16_TEXT""}"
2025-04-20 08:47:31,2025-04-20 08:50:17,IP Address,217.117.235.2,100,165,True,2025-04-20 08:50:17,R_2UF33w9nyFj9D0J,,,,,52.3385,4.9168,anonymous,EN,Francesco,51,No,,,,,,,,,
2025-04-20 08:50:19,2025-04-20 08:50:29,IP Address,217.117.235.2,100,10,True,2025-04-20 08:50:29,R_2flSg8o4uyLHrlT,,,,,52.3385,4.9168,anonymous,EN,Francesco,52,No,,,,,,,,,
2025-04-20 08:50:30,2025-04-20 08:51:46,IP Address,217.117.235.2,100,75,True,2025-04-20 08:51:46,R_8ohHLV9DYy6kmw3,,,,,52.3385,4.9168,anonymous,EN,Francesco,53,No,,,,,,,,,
2025-04-20 08:51:48,2025-04-20 08:54:16,IP Address,217.117.235.2,100,147,True,2025-04-20 08:54:16,R_2Ctx4GeBMy88aAN,,,,,52.3385,4.9168,anonymous,EN,Francesco,54,No,,,,,,,,,
2025-04-20 08:54:18,2025-04-20 08:55:15,IP Address,217.117.235.2,100,57,True,2025-04-20 08:55:15,R_8ewy9JF6jd3s9Nk,,,,,52.3385,4.9168,anonymous,EN,Francesco,55,No,,,,,,,,,
2025-04-20 08:55:16,2025-04-20 08:57:52,IP Address,217.117.235.2,100,155,True,2025-04-20 08:57:52,R_8rC2Za5EO8CEEjn,,,,,52.3385,4.9168,anonymous,EN,Francesco,56,No,,,,,,,,,
2025-04-20 08:57:53,2025-04-20 09:01:47,IP Address,217.117.235.2,100,234,True,2025-04-20 09:01:48,R_8PLkVsTZUmbMOAx,,,,,52.3385,4.9168,anonymous,EN,Francesco,57,No,,,,,,,,,
2025-04-20 09:01:50,2025-04-20 09:03:34,IP Address,217.117.235.2,100,104,True,2025-04-20 09:03:34,R_20sZuYpt17cWn9T,,,,,52.3385,4.9168,anonymous,EN,Francesco,58,No,,,,,,,,,
2025-04-20 09:03:35,2025-04-20 09:04:12,IP Address,217.117.235.2,100,36,True,2025-04-20 09:04:12,R_8sjBjxUYKWeDIYZ,,,,,52.3385,4.9168,anonymous,EN,Francesco,59,No,,,,,,,,,
2025-04-20 09:04:13,2025-04-20 09:05:39,IP Address,217.117.235.2,100,86,True,2025-04-20 09:05:39,R_8ilcIt0LAzBKHgI,,,,,52.3385,4.9168,anonymous,EN,Francesco,60,No,,,,,,,,,
2025-04-20 09:05:41,2025-04-20 09:06:07,IP Address,217.117.235.2,100,26,True,2025-04-20 09:06:07,R_2YFcZTpEQsiy0Lo,,,,,52.3385,4.9168,anonymous,EN,Francesco,61,No,,,,,,,,,
2025-04-20 09:06:08,2025-04-20 09:07:38,IP Address,217.117.235.2,100,90,True,2025-04-20 09:07:39,R_22DLbsIrEPI7SfX,,,,,52.3385,4.9168,anonymous,EN,Francesco,62,No,,,,,,,,,
2025-04-20 09:07:40,2025-04-20 09:08:16,IP Address,217.117.235.2,100,35,True,2025-04-20 09:08:16,R_8gp55Oy0d42l2ac,,,,,52.3385,4.9168,anonymous,EN,Francesco,63,No,,,,,,,,,
2025-04-20 09:08:17,2025-04-20 09:08:46,IP Address,217.117.235.2,100,28,True,2025-04-20 09:08:46,R_8xyE64JSRwEFZYT,,,,,52.3385,4.9168,anonymous,EN,Francesco,64,No,,,,,,,,,
2025-04-20 09:08:48,2025-04-20 09:12:42,IP Address,217.117.235.2,100,234,True,2025-04-20 09:12:42,R_8LhiUmi2QqbCnhe,,,,,52.3385,4.9168,anonymous,EN,Francesco,65,Yes,2,the FBI was determined to use it anyway to damage Trump,the FBI was determined to use it anyway... to perpetrate a fraud on the court to spy on the Trump campaign,,,,,,
2025-04-20 09:12:44,2025-04-20 09:14:51,IP Address,217.117.235.2,100,127,True,2025-04-20 09:14:51,R_8F4dcjWhP2WrRZL,,,,,52.3385,4.9168,anonymous,EN,Francesco,66,Yes,1,"It was Fusion GPS that hired Steele to write the phony &, discredited Dossier, paid for by Crooked Hillary &, the DNC....",,,,,,,
