StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Coder_ID,Post_ID,Attribution_Presence,Attribution_Number,AttributionType_1,SenderAccountMatch_1,Evaluation_1,PresenceIndividual_1,SpecificIndividual_1,PresenceCollective_1,SpecificCollective_1,PresenceSystems_1,SpecificSystem_1,PresenceNetwork_1,SpecificNetworks_1,Economy_1,SocialPolicies_1,PoliticsHumanRight_1,ExternalRelations_1,PastTense_1,PresentTense_1,FutureTense_1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Coder ID,Please insert the post ID [type a whole number],Does the post include any responsibility attributions?,Which responsibility attribution are you coding for in this post?,Which type of responsibility attribution is it?,Is the person who is affirming/negating causal responsibility Donal J. Trump?,How does the sender evaluate this affirmed/negated causal responsibility?,Does the post attribute responsibility to a named individual?,Whom does the post attribute responsibility to?,Does the post attribute responsibility to a collective or corporate actor?,Which collective or corporate actor does the post attribute responsibility to?,"Does the post attribute responsibility to a system, ideology, or belief system?","Which system, ideology, or belief system does the post attribute responsibility to?",Does the post attribute responsibility to a network structure?,Which network structure does the post attribute responsibility to?,Does the responsibility attribution concern economic topics?,Does the responsibility attribution concern social policy and welfare topics?,Does the responsibility attribution concern political and human rights topics?,Does the responsibility attribution concern external relations topics?,Does the responsibility attribution concern an outcome in the past?,Does the responsibility attribution concern a contemporary outcome?,Does the responsibility attribution concern an outcome in the future?
"{""ImportId"":""startDate"",""timeZone"":""Africa/Bangui""}","{""ImportId"":""endDate"",""timeZone"":""Africa/Bangui""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Africa/Bangui""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID72""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID10""}","{""ImportId"":""QID13""}","{""ImportId"":""QID12""}"
2025-04-23 17:15:03,2025-04-23 17:20:09,IP Address,146.50.154.101,100,305,True,2025-04-23 17:20:09,R_3TsQgJifyTlhdD3,,,,,52.3521,4.9138,anonymous,EN,Luke,1,Yes,First,Affirmed causal responsibility,No,Negatively,No,,Yes,"China ",,,,,No,No,Yes,,No,Yes,
2025-04-23 17:20:11,2025-04-23 17:23:10,IP Address,146.50.154.101,100,178,True,2025-04-23 17:23:10,R_9mITA3whfqcZwjg,,,,,52.3521,4.9138,anonymous,EN,Luke,2,Yes,First,Affirmed causal responsibility,No,Negatively,No,,Yes,Other Political/Ideological Groups,,,,,No,No,Yes,,No,Yes,
2025-04-23 17:23:27,2025-04-23 17:25:55,IP Address,146.50.154.101,100,147,True,2025-04-23 17:25:56,R_9kNhGePnqPx2YiT,,,,,52.3521,4.9138,anonymous,EN,Luke,3,Yes,First,Affirmed causal responsibility,Yes,Negatively,No,,Yes,"Other Non-Governing/Non-Political Organizations (private/public enterprise, non-profits, ",,,,,No,No,Yes,,Yes,,
2025-04-23 17:16:22,2025-04-23 17:28:35,IP Address,146.50.210.210,100,732,True,2025-04-23 17:28:35,R_3rMlcngxeOETg7n,,,,,52.3541,4.8975,anonymous,EN,Francesco,1,Yes,First,Affirmed causal responsibility,Yes,Neutrally,,,,,,,,,,,,,,,
2025-04-23 17:26:02,2025-04-23 17:28:43,IP Address,146.50.154.101,100,161,True,2025-04-23 17:28:43,R_2drVsvfu3Dr1lIY,,,,,52.3521,4.9138,anonymous,EN,Luke,4,Yes,First,Affirmed causal responsibility,Yes,Positively,Yes,Other Individuals,,,,,,,No,No,Yes,,No,Yes,
2025-04-23 17:28:45,2025-04-23 17:30:53,IP Address,146.50.154.101,100,127,True,2025-04-23 17:30:53,R_69JdWjpEASaksRb,,,,,52.3521,4.9138,anonymous,EN,Luke,5,Yes,First,Affirmed causal responsibility,Yes,Negatively,No,,Yes,Progressive: Democrats/Liberals/Left-wing ideologists,,,,,No,No,Yes,,No,No,Yes
2025-04-23 17:30:55,2025-04-23 17:32:01,IP Address,146.50.154.101,100,65,True,2025-04-23 17:32:01,R_2OHaOdE9OBEFhcS,,,,,52.3521,4.9138,anonymous,EN,Luke,5,Yes,Second,Affirmed causal responsibility,Yes,Negatively,No,,Yes,Progressive: Democrats/Liberals/Left-wing ideologists,,,,,No,No,No,No,,,
2025-04-23 17:32:04,2025-04-23 17:33:57,IP Address,146.50.154.101,100,112,True,2025-04-23 17:33:57,R_2nK1wfjzcmsPslz,,,,,52.3521,4.9138,anonymous,EN,Luke,6,Yes,First,Affirmed causal responsibility,Yes,Positively,No,,Yes,The Trump-Administration,,,,,Yes,,,,No,No,Yes
