StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Coder_ID,Post_ID,Attribution_Presence,Attribution_Number,Sender_Relevance_1,Evaluation_1,PresenceIndividual_1,SpecificIndividual_1,PresenceCollective_1,SpecificCollective_1,PresenceSystems_1,PresenceNetwork_1,Economy_1,SocialPolicies_1,PoliticsHumanRight_1,ExternalRelations_1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Who is coding this post?,"Please insert the post ID 

[See the first column 'postID' in the Excel sheet]",Does the post include any responsibility attributions?,Which responsibility attribution are you coding for in this post?,Is the person who is attributing responsibility in this post Donald J. Trump?,How does the sender evaluate this causal responsibility?,Does the post attribute responsibility to a named individual?,Whom does the post attribute responsibility to?,"Does the post attribute responsibility to a collective or corporate actor? 

(If Donald Trump attributes responsibility to a generic ""we"", answer ""Yes"")","Which collective or corporate actor does the post attribute responsibility to? 

(If Donald Trump attributes responsibility to a generic ""we"", answer ""The Trump-Administration"")","Does the post attribute responsibility to a system, ideology, or belief system?",Does the post attribute responsibility to a network structure?,Does the responsibility attribution concern economic topics?,Does the responsibility attribution concern social policy and welfare topics?,Does the responsibility attribution concern political and human rights topics?,Does the responsibility attribution concern external relations topics?
"{""ImportId"":""startDate"",""timeZone"":""Africa/Bangui""}","{""ImportId"":""endDate"",""timeZone"":""Africa/Bangui""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Africa/Bangui""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID72""}","{""ImportId"":""QID9""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID22""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}"
2025-04-29 19:29:42,2025-04-29 19:30:35,IP Address,89.98.163.147,100,53,True,2025-04-29 19:30:36,R_8dIcbNdxBAJHBlL,,,,,52.3672,4.918,anonymous,EN,Ada Shi,1A,No,,,,,,,,,,,,,
2025-04-29 19:30:37,2025-04-29 19:40:42,IP Address,89.98.163.147,100,605,True,2025-04-29 19:40:43,R_80q7wpLPaqTWjdv,,,,,52.3672,4.918,anonymous,EN,Ada Shi,2A,Yes,First,Yes,Negatively,No,,Yes,"Media (e.g., Fake News)",,,No,No,No,No
2025-04-29 19:40:50,2025-04-29 19:42:24,IP Address,89.98.163.147,100,93,True,2025-04-29 19:42:25,R_5LAIwlqYO0BqzPR,,,,,52.3672,4.918,anonymous,EN,Ada Shi,3A,No,,,,,,,,,,,,,
2025-04-29 19:42:26,2025-04-29 19:45:50,IP Address,89.98.163.147,100,203,True,2025-04-29 19:45:51,R_7l3tUVdgikR3agR,,,,,52.3672,4.918,anonymous,EN,Ada Shi,4A,Yes,First,Yes,Negatively,No,,Yes,"Other Collectives (e.g. Other Countries, Other Political Groups, NGOs, Public Enterprises, International Governing Institutions)",,,No,No,Yes,
2025-04-29 19:45:54,2025-04-29 19:46:39,IP Address,89.98.163.147,100,44,True,2025-04-29 19:46:39,R_3qzRC1NWCNw901X,,,,,52.3672,4.918,anonymous,EN,Ada Shi,4A,Yes,Second,Yes,Negatively,No,,Yes,"Other Collectives (e.g. Other Countries, Other Political Groups, NGOs, Public Enterprises, International Governing Institutions)",,,No,No,Yes,
2025-04-29 19:46:43,2025-04-29 19:48:05,IP Address,89.98.163.147,100,81,True,2025-04-29 19:48:05,R_6iqnJ1Av0qs71s2,,,,,52.3672,4.918,anonymous,EN,Ada Shi,5A,Yes,First,Yes,Negatively,No,,Yes,"Media (e.g., Fake News)",,,No,No,No,Yes
2025-04-29 19:50:12,2025-04-29 19:50:21,IP Address,89.98.163.147,100,9,True,2025-04-29 19:50:22,R_6BtYfUiNwjSyRfI,,,,,52.3672,4.918,anonymous,EN,Ada Shi,6A,No,,,,,,,,,,,,,
2025-04-29 19:50:23,2025-04-29 19:50:51,IP Address,89.98.163.147,100,27,True,2025-04-29 19:50:51,R_1MuGFvMSxHtvn5z,,,,,52.3672,4.918,anonymous,EN,Ada Shi,7A,No,,,,,,,,,,,,,
2025-04-29 19:51:09,2025-04-29 19:52:58,IP Address,89.98.163.147,100,109,True,2025-04-29 19:52:58,R_5EAVlXXfuBB0ukH,,,,,52.3672,4.918,anonymous,EN,Ada Shi,8A,Yes,First,Yes,Positively,No,,Yes,"National Government Agencies (e.g., intelligence agencies, government departments like the department of justice)",,,No,No,No,No
2025-04-29 19:53:01,2025-04-29 19:53:19,IP Address,89.98.163.147,100,18,True,2025-04-29 19:53:19,R_37pS8rhAZajZcl3,,,,,52.3672,4.918,anonymous,EN,Ada Shi,9A,No,,,,,,,,,,,,,
