Tweet,Date,Link,Images
Our border czar Kamala Harris opened up the border by design. Now real people are suffering.,2024-08-01,https://x.com/JDVance/status/1819050907293655444,https://pbs.twimg.com/ext_tw_video_thumb/1819040803924144129/pu/img/Bjv5s2HCLyLf1vlS.jpg
"Actually I was responding to a person who proposed a burden of “proof” and a “trial” and suggesting that standard is preposterous. Rather than accusing me of dishonesty, you might read what I wrote and what I responded to. 

Since you’re proposing something different I’ll put the",2025-04-16,https://x.com/JDVance/status/1912471504526123265,No Images
"Consider that Joe Biden allowed approximately 20 million illegal aliens into our country. This placed extraordinary burdens on our country--our schools, hospitals, housing, and other essential services were overwhelmed. On top of that, many of these illegal aliens committed",2025-04-16,https://x.com/JDVance/status/1912320489261027374,No Images
"“De Gaulle loved the US, but he recognized what I certainly recognize, that it’s not in Europe’s interest, and it’s not in America’s interest, for Europe to be a permanent security vassal of the United States”.
@JDVance
 to me.

Exclusive for UnHerd",2025-04-15,https://x.com/SohrabAhmari/status/1912134507303514124,No Images
The entire American media and left wing industrial complex has decided the most important issue today is that the Trump admin deported an MS-13 gang member (and illegal alien),2025-04-15,https://x.com/JDVance/status/1912110654934167569,https://pbs.twimg.com/amplify_video_thumb/1911814711781306368/img/PBGQVZW0ecFQFR-Y.jpg
I’m old enough to remember when both major parties agreed that illegal alien gang members ought not live in your neighborhood.,2025-04-15,https://x.com/JDVance/status/1912111116747972679,No Images
".
@POTUS
 gives a shoutout to the biggest Buckeye fan of all 
@JDVance",2025-04-14,https://x.com/TrumpWarRoom/status/1911867890497708341,https://pbs.twimg.com/amplify_video_thumb/1911867790304083968/img/MoGjoBAXlqZgvern.jpg
I didn’t want anyone after Ohio State to get the trophy so I decided to break it,2025-04-14,https://x.com/JDVance/status/1911877790388871537,https://pbs.twimg.com/amplify_video_thumb/1911869186285977600/img/aKWVVSIPyQbkl9A2.jpg
"Thanks be to God that Governor Shapiro and his family were unharmed in this attack. 

Really disgusting violence, and I hope whoever did it is brought swiftly to justice.",2025-04-14,https://x.com/JDVance/status/1911580806130106817,No Images
"There is a category of DC insider who wants to fight an actual war with China but also wants China to manufacture much of our critical supply. This is insane. 

President Trump wants peace, but also wants fair trade and more self-reliance for the American economy.",2025-04-10,https://x.com/JDVance/status/1910328905308762374,No Images
".
@POTUS
 gives a shoutout to the biggest Buckeye fan of all 
@JDVance",2025-04-14,https://x.com/TrumpWarRoom/status/1911867890497708341,No Images
Incredible news. Inflation even lower than expected!,2025-04-10,https://x.com/JDVance/status/1910316155631284726,https://pbs.twimg.com/media/GoLKcb4XgAABlKl?format=jpg&name=small
,2025-04-09,https://x.com/JDVance/status/1910025894795567412,https://pbs.twimg.com/media/GoHGbdqXQAAeKTF?format=jpg&name=small
Mitch’s vote today—like so much of the last few years of his career—is one of the great acts of political pettiness I’ve ever seen.,2025-04-08,https://x.com/JDVance/status/1909660275583709358,https://pbs.twimg.com/media/GoB4taFWMAAmHP7?format=jpg&name=medium
This is pretty incredible. Smart education reform drastically improved Mississippi's schools.,2025-04-08,https://x.com/JDVance/status/1909643837301309860,https://pbs.twimg.com/media/Gn9PocGaAAA_Nw8?format=png&name=medium
It’s bizarre to see all the limousine socialists screech desperately for dependence on Chinese supply chains and inflated equities.,2025-04-08,https://x.com/JDVance/status/1909586889327226906,No Images
"Like, an actual talking point on the left two months ago was “Trump’s policies exist to enrich Elon Musk.”",2025-04-08,https://x.com/JDVance/status/1909587199894471132,No Images
"Also, to be fair, they also really love illegal immigrant labor and despise deporting criminals.",2025-04-08,https://x.com/JDVance/status/1909587449157665233,No Images
"The Supreme Court today rejected the idea that far left judges in DC can overrule President Trump's immigration enforcement. 

This is a major loss for the lunatics and a major win for the American people. 

Onward!",2025-04-08,https://x.com/JDVance/status/1909400289058107894,No Images
ALIEN ENEMIES ACT NOW IN FULL EFFECT. THE FOREIGN TERRORISTS WILL BE ARRESTED AND EXPELLED.,2025-04-07,https://x.com/StephenM/status/1909385151110332903,No Images
"The United States has a chance to do something that should have been done DECADES AGO. Don’t be Weak! Don’t be Stupid! Don’t be a PANICAN (A new party based on Weak and Stupid people!). Be Strong, Courageous, and Patient, and GREATNESS will be the result!",2025-04-07,https://x.com/realDonaldTrump/status/1909258878035828788,No Images
"We have a $53 BILLION annual automotive trade deficit with Japan, $40 BILLION auto deficit with Europe, $50 BILLION auto deficit with S Korea. Cold hard math: our allies have shut their markets to our cars while our market has been flooded with theirs. This was all deliberate.",2025-04-07,https://x.com/StephenM/status/1909056223934124414,No Images
,2025-04-03,https://x.com/elonmusk/status/1907930637333574115,https://pbs.twimg.com/ext_tw_video_thumb/1907816618421575680/pu/img/aWIp3ol7UF3QKnEy.jpg
".
@VP
: “Think about how many factories we have seen close down since NAFTA, in the early nineties, 90,000 American factories have been closed down. That is small towns that have been blighted. That is millions of workers who have lost their jobs. That has to stop!”",2025-04-04,https://x.com/TrumpWarRoom/status/1907948516338708601,https://pbs.twimg.com/ext_tw_video_thumb/1907944754442088449/pu/img/0B-N3MP4WY-HdSCX.jpg
