Tweet,Date,Link,Images
,2025-04-16,https://x.com/realDonaldTrump/status/1912502477359894605,No Images
"The United States has a chance to do something that should have been done DECADES AGO. Don’t be Weak! Don’t be Stupid! Don’t be a PANICAN (A new party based on Weak and Stupid people!). Be Strong, Courageous, and Patient, and GREATNESS will be the result!",2025-04-07,https://x.com/realDonaldTrump/status/1909258878035828788,No Images
"Oil prices are down, interest rates are down (the slow moving Fed should cut rates!), food prices are down, there is NO INFLATION, and the long time abused USA is bringing in Billions of Dollars a week from the abusing countries on Tariffs that are already in place. This is",2025-04-07,https://x.com/realDonaldTrump/status/1909258777380974625,No Images
"These Houthis gathered for instructions on an attack. Oops, there will be no attack by these Houthis! 

They will never sink our ships again!",2025-04-04,https://x.com/realDonaldTrump/status/1908300360810479821,https://pbs.twimg.com/amplify_video_thumb/1908300301850779648/img/NfAhwaVplyYKr0mB.jpg
,2025-04-03,https://x.com/realDonaldTrump/status/1907782254572470670,https://pbs.twimg.com/amplify_video_thumb/1907777886095912960/img/pbPbuHuRK-5eZF5E.jpg
,2025-04-02,https://x.com/realDonaldTrump/status/1907525286150754745,No Images
,2025-04-02,https://x.com/realDonaldTrump/status/1907459922113028104,https://pbs.twimg.com/amplify_video_thumb/1907459768446300162/img/awjuy14Jb5B4k12d.jpg
,2025-04-03,https://x.com/realDonaldTrump/status/1907782254572470670,No Images
,2025-04-02,https://x.com/realDonaldTrump/status/1907428426648023398,https://pbs.twimg.com/media/GniMC0aXwAAlnUJ?format=jpg&name=900x900
"REPUBLICANS MUST DEFUND AND TOTALLY DISASSOCIATE THEMSELVES FROM NPR & PBS, THE RADICAL LEFT “MONSTERS” THAT SO BADLY HURT OUR COUNTRY!",2025-04-01,https://x.com/realDonaldTrump/status/1907174400144589035,No Images
The Iran-backed Houthi Terrorists have been decimated by the relentless strikes over the past two weeks. Many of their Fighters and Leaders are no longer with us. We hit them every day and night — Harder and harder. Their capabilities that threaten Shipping and the Region are,2025-03-31,https://x.com/realDonaldTrump/status/1906780985888522694,No Images
"There will never have been a transformation of a Country like the transformation that is happening, for all to see, in the United States of America. Companies are pouring into our Country at levels never seen before, with Jobs (and Money!) to follow. It is a beautiful thing to",2025-03-31,https://x.com/realDonaldTrump/status/1906780813204836475,No Images
"In two months, there has been more Private Investment spoken for, and/or committed to, than in four years of the Sleepy Joe Biden Administration — A fact that the Fake News hates talking about!",2025-03-31,https://x.com/realDonaldTrump/status/1906780560141250562,No Images
"Thank you President Bukele, of El Salvador, for taking the criminals that were so stupidly allowed, by the Crooked Joe Biden Administration, to enter our Country, and giving them such a wonderful place to live!",2025-03-31,https://x.com/realDonaldTrump/status/1906772680805646368,https://pbs.twimg.com/media/GnX-8phakAAgXGr.jpg
,2025-04-02,https://x.com/realDonaldTrump/status/1907459922113028104,No Images
,2025-03-31,https://x.com/realDonaldTrump/status/1906701492192420117,https://pbs.twimg.com/amplify_video_thumb/1906701334314663936/img/Q2aqqT2Yuvi93H37.jpg
"America First Patriot Randy Fine is running to represent the Wonderful People of Florida’s 6th Congressional District! A highly successful, Harvard educated businessman, and greatly respected State Legislator, Randy has been a tremendous Voice for MAGA. In Congress, Randy will be",2025-03-31,https://x.com/realDonaldTrump/status/1906700623615078744,No Images
"Jimmy Patronis, Chief Financial Officer and Fire Marshall for the Great State of Florida, is running an incredible Campaign for Congress in Florida’s 1st Congressional District! A fourth generation Floridian from the beautiful Panhandle, and owner of an iconic seafood restaurant,",2025-03-31,https://x.com/realDonaldTrump/status/1906700533240680783,No Images
" SIGNAL SCANDAL:  Katherine Maher, the leftist NPR CEO, is currently the Chair of the Board of Signal!

WHAT ARE THE ODDS?",2025-03-27,https://x.com/OcrazioCornPop/status/1905233167272779893,"https://pbs.twimg.com/media/GnC_eCHXsAALfC3?format=jpg&name=medium, https://pbs.twimg.com/media/GnC_eBZWgAAW2Ju?format=jpg&name=900x900"
,2025-03-28,https://x.com/realDonaldTrump/status/1905689237749727368,https://pbs.twimg.com/amplify_video_thumb/1905689034154016769/img/uXH_xcP16-jrRFQJ.jpg
,2025-03-31,https://x.com/realDonaldTrump/status/1906701492192420117,No Images
"FIGHT, FIGHT, FIGHT!!!",2025-03-25,https://x.com/realDonaldTrump/status/1904362652987429338,https://pbs.twimg.com/amplify_video_thumb/1904362577611603969/img/rnIrzqqFQRrtGhHP.jpg
,2025-03-21,https://x.com/realDonaldTrump/status/1903215026682380513,https://pbs.twimg.com/media/GmmT-d3aEAAlGZx?format=jpg&name=large
" Newly Filed Motion To Disqualify Radical Obama Judge Beryl Howell From Trump Case

Read More: https://cdn.prod.website-files.com/65a5dbf7ffda034a47a316a2/67ddbfb4f6e170fa00b1b4ef_DQ_Motion.pdf…",2025-03-21,https://x.com/mrddmia/status/1903169887318819153,https://pbs.twimg.com/media/GmlqpCoaEAAgqhQ?format=png&name=900x900
,2025-03-20,https://x.com/realDonaldTrump/status/1902818394946277485,No Images
"Elon Musk: “As a function of the great policies of President Trump and his administration, and as an act of faith in America, Tesla is going to DOUBLE vehicle output in the United States within the next two years…”",2025-03-12,https://x.com/realDonaldTrump/status/1899637674241048800,https://pbs.twimg.com/amplify_video_thumb/1899637616896618498/img/6R0UCjzaj8ISPWQQ.jpg
"Number one, it's a great product, as good as it gets—and number two, because 
@ElonMusk
 has devoted his energy and his life to doing this and I think he has been treated very unfairly…",2025-03-12,https://x.com/realDonaldTrump/status/1899636898533867969,https://pbs.twimg.com/amplify_video_thumb/1899636827901833216/img/x4ru-hu6CXCg15Yh.jpg
"President Trump, 
@Elon
, and X leave the Oval Office and head over to the South Portico of the 
@WhiteHouse
 where Elon helped 
@POTUS
 choose his new 
@Tesla
…",2025-03-11,https://x.com/Scavino47/status/1899573054474461464,https://pbs.twimg.com/amplify_video_thumb/1899572869132177408/img/XBagXKstryMokH5E.jpg
,2025-02-24,https://x.com/realDonaldTrump/status/1894113204319424674,No Images
,2025-02-20,https://x.com/realDonaldTrump/status/1892397388595093561,https://pbs.twimg.com/media/GkMlZPpXEAA_PJ_?format=jpg&name=medium
,2025-02-19,https://x.com/realDonaldTrump/status/1892344088172646484,No Images
,2025-02-19,https://x.com/realDonaldTrump/status/1892242622623699357,https://pbs.twimg.com/media/GkKYoYPWMAAuCdj?format=jpg&name=large
,2025-02-19,https://x.com/realDonaldTrump/status/1892012275789135905,https://pbs.twimg.com/media/GkHHI3WWcAAK0Br?format=jpg&name=medium
,2025-02-19,https://x.com/realDonaldTrump/status/1892012075603382664,No Images
"On Trade, I have decided, for purposes of Fairness, that I will charge a RECIPROCAL Tariff meaning, whatever Countries charge the United States of America, we will charge them - No more, no less!

For purposes of this United States Policy, we will consider Countries that use the",2025-02-17,https://x.com/realDonaldTrump/status/1891572283161944433,No Images
,2025-02-17,https://x.com/realDonaldTrump/status/1891571953682481498,https://pbs.twimg.com/amplify_video_thumb/1891203801211674624/img/EGK8lYjJAjKSA7j0.jpg
,2025-02-17,https://x.com/realDonaldTrump/status/1891571874498232512,https://pbs.twimg.com/amplify_video_thumb/1891201561637920768/img/8WI8VWoImyjVJvbq.jpg
He who saves his Country does not violate any Law.,2025-02-15,https://x.com/realDonaldTrump/status/1890831570535055759,No Images
"WELCOME HOME, MARC!",2025-02-12,https://x.com/realDonaldTrump/status/1889529852757201368,https://pbs.twimg.com/amplify_video_thumb/1889529708280221696/img/JvacwBMAnmZ1wi3e.jpg
,2025-02-11,https://x.com/realDonaldTrump/status/1889332439241085203,https://pbs.twimg.com/media/GjhB0u6WAAEg-SV?format=jpg&name=medium
,2025-02-11,https://x.com/realDonaldTrump/status/1889332296919998557,https://pbs.twimg.com/media/GjhBtB-WMAAxpSX?format=jpg&name=medium
,2025-02-04,https://x.com/realDonaldTrump/status/1886855810451485180,https://pbs.twimg.com/media/Gi91W6wWkAA31NT?format=jpg&name=medium
,2025-02-03,https://x.com/realDonaldTrump/status/1886456105372459141,https://pbs.twimg.com/media/Gi4J01QX0AARHLT?format=jpg&name=medium
"This morning I ordered precision Military air strikes on the Senior ISIS Attack Planner and other terrorists he recruited and led in Somalia. These killers, who we found hiding in caves, threatened the United States and our Allies. The strikes destroyed the caves they live in,",2025-02-03,https://x.com/realDonaldTrump/status/1886453721871319097,https://pbs.twimg.com/amplify_video_thumb/1886453664904069121/img/r53TjILSf7MRcStO.jpg
,2025-02-01,https://x.com/realDonaldTrump/status/1885821495080825305,https://pbs.twimg.com/media/GivIoV_XQAAgv-p?format=jpg&name=medium
"This morning I ordered precision Military air strikes on the Senior ISIS Attack Planner and other terrorists he recruited and led in Somalia. These killers, who we found hiding in caves, threatened the United States and our Allies. The strikes destroyed the caves they live in,",2025-02-01,https://x.com/realDonaldTrump/status/1885740103223648412,No Images
,2025-02-01,https://x.com/realDonaldTrump/status/1885740072705650821,https://pbs.twimg.com/media/Git-mj-XUAABQve?format=jpg&name=medium
,2025-02-01,https://x.com/realDonaldTrump/status/1885739966350667907,https://pbs.twimg.com/media/Git-gZQWYAAh5-6?format=jpg&name=medium
"It is so good to have the Venezuela Hostages back home and, very important to note, that Venezuela has agreed to receive, back into their Country, all Venezuela illegal aliens who were encamped in the U.S., including gang members of Tren de Aragua. Venezuela has further agreed to",2025-02-01,https://x.com/realDonaldTrump/status/1885739833399619760,No Images
Just been informed that we are bringing six hostages home from Venezuela. Thank you to Ric Grenell and my entire staff. Great job!,2025-02-01,https://x.com/realDonaldTrump/status/1885485623735124467,No Images
"Photo of beautiful water flow that I just opened in California. Today, 1.6 billion gallons and, in 3 days, it will be 5.2 billion gallons. Everybody should be happy about this long fought Victory! I only wish they listened to me six years ago – There would have been no fire!",2025-01-31,https://x.com/realDonaldTrump/status/1885473025476145386,https://pbs.twimg.com/media/GiqLuRlXMAA_ZUC?format=jpg&name=medium
,2025-01-31,https://x.com/realDonaldTrump/status/1885345948047462910,https://pbs.twimg.com/media/GioYJMAXMAA5_RZ?format=jpg&name=medium
,2025-01-31,https://x.com/realDonaldTrump/status/1885345244167745561,https://pbs.twimg.com/amplify_video_thumb/1885344149563420673/img/m7mGFIPssleYXLxW.jpg
"Proud of you, Bobby, for taking the lead—and of every American who has every reason to give up but refuses to stop fighting. We WILL win. ",2025-01-29,https://x.com/NicoleShanahan/status/1884672621138100423,https://pbs.twimg.com/media/GiezuEBWUAAeqsp?format=png&name=small
,2025-01-28,https://x.com/realDonaldTrump/status/1884308797239554429,https://pbs.twimg.com/media/GiZo3QOWYAINdjT?format=jpg&name=medium
,2025-01-28,https://x.com/realDonaldTrump/status/1884308740792541440,https://pbs.twimg.com/media/GiZo0ApWgAAKepj?format=jpg&name=medium
The 60th Presidential Inauguration Ceremony,2025-01-20,https://x.com/realDonaldTrump/status/1881372933710589978,No Images
"The Official Melania Meme is live!

You can buy $MELANIA now.  

http://Melaniameme.com

FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P",2025-01-19,https://x.com/MELANIATRUMP/status/1881094861279129643,https://pbs.twimg.com/media/Ghr1eIsXoAEhkSx?format=jpg&name=medium
President Trump’s Celebratory Victory Rally,2025-01-19,https://x.com/realDonaldTrump/status/1881073769449492971,No Images
"I am extremely proud of what we continue to accomplish in crypto. $Trump is currently the hottest digital meme on earth and I truly believe that 
@WorldLibertyFi
 will revolutionize DeFi/Cefi and will be the future of finance. We are just getting started! ",2025-01-18,https://x.com/EricTrump/status/1880670273768435759,"https://pbs.twimg.com/media/GhlPNgwWgAA44f7?format=jpg&name=small, https://pbs.twimg.com/media/GhlPNgwXgAA9BUd?format=jpg&name=small"
My NEW Official Trump Meme is HERE! It’s time to celebrate everything we stand for: WINNING! Join my very special Trump Community. GET YOUR $TRUMP NOW. Go to http://gettrumpmemes.com — Have Fun!,2025-01-18,https://x.com/realDonaldTrump/status/1880446012168249386,https://pbs.twimg.com/media/GhivrlDWAAA7Ex3?format=jpg&name=medium
,2025-01-14,https://x.com/realDonaldTrump/status/1878969190335590889,https://pbs.twimg.com/amplify_video_thumb/1878969120143601665/img/m62ceOaQ1cjuuznE.jpg
"Members of Congress are getting to work on one powerful Bill that will bring our Country back, and make it greater than ever before. We must Secure our Border, Unleash American Energy, and Renew the Trump Tax Cuts, which were the largest in History, but we will make it even",2025-01-06,https://x.com/realDonaldTrump/status/1876089056817455175,No Images
TRUMP WAS RIGHT ABOUT EVERYTHING!,2025-01-03,https://x.com/realDonaldTrump/status/1875050089305252190,No Images
"Our Country is a disaster, a laughing stock all over the World! This is what happens when you have OPEN BORDERS, with weak, ineffective, and virtually nonexistent leadership. The DOJ, FBI, and Democrat state and local prosecutors have not done their job. They are incompetent and",2025-01-03,https://x.com/realDonaldTrump/status/1875050002046726519,No Images
"With the Biden “Open Border’s Policy” I said, many times during Rallies, and elsewhere, that Radical Islamic Terrorism, and other forms of violent crime, will become so bad in America that it will become hard to even imagine or believe. That time has come, only worse than ever",2025-01-03,https://x.com/realDonaldTrump/status/1875049915367235899,No Images
"The Tariffs, and Tariffs alone, created this vast wealth for our Country. Then we switched over to Income Tax. We were never so wealthy as during this period. Tariffs will pay off our debt and, MAKE AMERICA WEALTHY AGAIN!",2025-01-03,https://x.com/realDonaldTrump/status/1875049777186136481,https://pbs.twimg.com/media/GgFbmY9WUAAZ5eN?format=jpg&name=medium
